ID	ST	Accession No.	Region	District	Antibiotic Resistance	Antigenic Formulas	Average Length	Barcode	City	Collection Day	Collection Month	Collection Time	Collection Year	Comment	Lab Contact	Continent	Country	Date Entered	Disease	Experiment	Latitude	Longitude	Phage Type	Post Code	Release Date	Sample ID	Secondary Sample ID	Project ID	Insert Size	Sequencing Library	Sequencing Platform	Serovar	Source Details	Source Niche	Source Type	Name	Bio Project ID	Subspecies	Bases	Uberstrain
SAL_XB8478AA_AS	ST221352							SAL_BB8796AA					2018		"National Institute of Health, Portugal"	Europe	Portugal	13/01/2020							13/01/2020							Minnesota		Poultry	Poultry	PT_SE0095				278796
SAL_AC6335AA_AS	ST223702							SAL_CB1600AA			1		2020		Public Health England	Europe	United Kingdom	14/02/2020							27/01/2020	SAMN13925123	SRS6064675	SRP042645				Minnesota	Homo sapiens; human	Human	Human	876209	PRJNA248792	I		281600
SAL_AC6175AA_AS	ST223702							SAL_CB1759AA			1		2020		Public Health England	Europe	United Kingdom	14/02/2020							22/01/2020	SAMN13898211	SRS6048822	SRP042645				Minnesota	Homo sapiens; human	Human	Human	874864	PRJNA248792	I		281759
SAL_BC5933AA_AS	ST225864							SAL_CB3740AA					2018		FDA Center for Food Safety and Applied Nutrition	South America	Chile	25/02/2020							23/02/2020	SAMN14167312	SRS6201052	SRP070772				Thompson	chicken meat	Food	Avian	Burnett-PUCV3	PRJNA298359	I		283740
SAL_BC7102AA_AS	ST226086							SAL_CB3921AA					2018		FDA Center for Food Safety and Applied Nutrition	South America	Chile	26/02/2020							25/02/2020	SAMN14207029	SRS6215572	SRP070772				Minnesota	chicken meat	Food	Avian	Burnett-PUCV14	PRJNA298359	I		283921
SAL_BC7425AA_AS	ST226148							SAL_CB3976AA			2		2020		Public Health England	Europe	United Kingdom	26/02/2020							26/02/2020	SAMN14207196	SRS6215818	SRP042645				Minnesota	food	Food	ND/Others	892728	PRJNA248792	I		283976
SAL_DC1812AA_AS	ST227878							SAL_CB6062AA					2018		FDA Center for Food Safety and Applied Nutrition	South America	Chile	13/03/2020							12/03/2020	SAMN14371050	SRS6313662	SRP070772				Minnesota	chicken meat	Food	Avian	Burnett-PUCV26	PRJNA298359	I		286062
SAL_DC1800AA_AS	ST227877							SAL_CB6074AA					2018		FDA Center for Food Safety and Applied Nutrition	South America	Chile	13/03/2020							12/03/2020	SAMN14370903	SRS6313479	SRP070772				Minnesota	chicken meat	Food	Avian	Burnett-PUCV25	PRJNA298359	I		286074
SAL_FC4994AA_AS	ST230151							SAL_CB8946AA			3		2020		Public Health England	Europe	United Kingdom	08/04/2020							04/04/2020	SAMN14535136	SRS6424903	SRP042645				Minnesota	Homo sapiens; human	Human	Human	916933	PRJNA248792	I		288946
SAL_HC8027AA_AS	ST233600							SAL_DB3448AA			5		2020		Public Health England	Europe	United Kingdom	02/06/2020							02/06/2020	SAMN15077413	SRS6752368	SRP042645				Minnesota	food	Food	ND/Others	949167	PRJNA248792	I		293448
SAL_HC8018AA_AS	ST233609							SAL_DB3457AA			5		2020		Public Health England	Europe	United Kingdom	02/06/2020							02/06/2020	SAMN15077345	SRS6752349	SRP042645				Minnesota	food	Food	ND/Others	949186	PRJNA248792	I		293457
SAL_IC8586AA_AS	ST238584							SAL_DB8136AA							Central Research Institute of Epidemiology	Europe	Russia	29/07/2020			60	100			29/07/2020	SAMN15666303	SRS7105759	SRP156767								SLR1_7697	PRJNA484865			298136
SAL_JC7960AA_AS	ST241707							SAL_EB2763AA					2018		Brasilia University		Brazil	08/09/2020			-15.806468	-47.882283			08/09/2020	SAMN14560251	SRS7007659	SRP281193					environmental	Environment	ND/Others	SAL5	PRJNA623901			302763
SAL_KC3295AA_AS	ST243258							SAL_EB4569AA			9		2020		Public Health England	Europe	United Kingdom	23/09/2020							23/09/2020	SAMN16241161	SRS7411949	SRP042645				Minnesota	food	Food	ND/Others	988798	PRJNA248792	I		304569
SAL_KC3293AA_AS	ST243263							SAL_EB4571AA			9		2020		Public Health England	Europe	United Kingdom	23/09/2020							23/09/2020	SAMN16241175	SRS7411947	SRP042645				Minnesota	food	Food	ND/Others	988827	PRJNA248792	I		304571
SAL_KC3965AA_AS	ST243619							SAL_EB4838AA			9		2020		Public Health England	Europe	United Kingdom	24/09/2020							24/09/2020	SAMN16249140	SRS7415985	SRP042645				Minnesota	food	Food	ND/Others	988816	PRJNA248792	I		304838
SAL_KC6604AA_AS	ST245005							SAL_EB6017AA			9		2020		Public Health England	Europe	United Kingdom	02/10/2020							02/10/2020	SAMN16337412	SRS7466488	SRP042645				Minnesota	food	Food	ND/Others	993711	PRJNA248792	I		306017
SAL_KC6815AA_AS	ST245202							SAL_EB6134AA			9		2020		Public Health England	Europe	United Kingdom	04/10/2020							04/10/2020	SAMN16360763	SRS7472181	SRP042645				Minnesota	food	Food	ND/Others	995851	PRJNA248792	I		306134
SAL_KC6802AA_AS	ST245208							SAL_EB6147AA			9		2020		Public Health England	Europe	United Kingdom	04/10/2020							04/10/2020	SAMN16360729	SRS7472168	SRP042645				Minnesota	food	Food	ND/Others	995811	PRJNA248792	I		306147
SAL_KC9792AA_AS	ST246438							SAL_EB8234AA			10		2020		Public Health England	Europe	United Kingdom	21/10/2020							19/10/2020	SAMN16452352	SRS7536557	SRP042645				Minnesota	food	Food	ND/Others	1003382	PRJNA248792	I		308234
SAL_KC9786AA_AS	ST246437							SAL_EB8240AA			10		2020		Public Health England	Europe	United Kingdom	21/10/2020							19/10/2020	SAMN16452365	SRS7536533	SRP042645				Minnesota	food	Food	ND/Others	1003435	PRJNA248792	I		308240
